Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
60 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 5 	 3 	   	  	 8902.8 	 0.000136768 	 1.21762 	 6.86849
61 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 3 	 2 	   	  	 8903.01 	 3.04778e-05 	 0.271344 	 4.19709
62 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 5 	 2 	   	  	 8903.01 	 0.000128717 	 1.14597 	 4.1659
63 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 1 	 2 	   	  	 8903.01 	 2.47825e-08 	 0.000220639 	 7.24213
64 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 7 	 2 	   	  	 8903.01 	 0.000405059 	 3.60624 	 6.72393
65 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 7 	 1 	   	  	 8903.04 	 3.09814e-05 	 0.275829 	 4.15622
66 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 5 	 1 	   	  	 8903.04 	 4.58047e-06 	 0.0407801 	 4.12728
67 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 9 	 1 	   	  	 8903.05 	 4.1291e-08 	 0.000367616 	 4.16991
68 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 3 	 1 	   	  	 8903.05 	 6.31235e-07 	 0.00561992 	 4.22753
69 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (4s)1 (3d)10 (4d)1  	 1 	 1 	   	  	 8903.06 	 4.63311e-10 	 4.12489e-06 	 4.19612
70 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 1 	 4 	   	  	 8973.91 	 4.63513e-07 	 0.00415952 	 1.61411
71 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 5 	 8 	   	  	 8978.13 	 4.17713e-06 	 0.0375028 	 1.58621
72 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 1 	 6 	   	  	 8978.14 	 2.81616e-06 	 0.0252839 	 1.58621
73 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 3 	 8 	   	  	 8978.14 	 3.50106e-06 	 0.031433 	 1.58621
74 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 7 	 7 	   	  	 8978.14 	 1.20002e-05 	 0.107739 	 1.58621
75 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 5 	 7 	   	  	 8978.15 	 4.86293e-06 	 0.0436601 	 1.58621
76 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 7 	 6 	   	  	 8978.15 	 7.44451e-09 	 6.68379e-05 	 1.58621
77 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 1 	 5 	   	  	 8978.16 	 5.01292e-07 	 0.00450068 	 1.58621
78 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 3 	 7 	   	  	 8978.17 	 2.28963e-06 	 0.0205567 	 1.58621
79 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)10 (4d)1  	 5 	 3 	  	  	 3d 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)6 (4s)1 (3d)9 (4d)1   	 5 	 6 	   	  	 8978.49 	 2.98131e-07 	 0.00267677 	 1.58621
