Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,3,3, 3p ,3,3,8902.79,1.39051e-05,5.97703
 1s ,3,3, 3p ,5,3,8902.79,0.000270875,8.53303
 1s ,3,3, 3p ,3,2,8903.0,2.75097e-05,5.86163
 1s ,3,3, 3p ,5,2,8903.0,1.91041e-05,5.83044
 1s ,3,3, 3p ,1,2,8903.0,2.02316e-05,8.90667
 1s ,3,3, 3p ,7,2,8903.0,2.77114e-08,8.38847
 1s ,3,3, 3p ,7,1,8903.03,1.23754e-08,5.82076
 1s ,3,3, 3p ,5,1,8903.03,2.22993e-07,5.79182
 1s ,3,3, 3p ,9,1,0.0,0.0,5.83445
 1s ,3,3, 3p ,3,1,8903.04,9.74853e-08,5.89207
 1s ,3,3, 3p ,1,1,8903.05,1.61007e-08,5.86066
 1s ,3,3, 3d ,1,4,8973.9,3.53862e-07,3.27865
 1s ,3,3, 3d ,5,8,8978.12,2.5327e-06,3.25075
 1s ,3,3, 3d ,1,6,8978.13,1.78512e-07,3.25075
 1s ,3,3, 3d ,3,8,8978.13,1.29384e-06,3.25075
 1s ,3,3, 3d ,7,7,8978.13,1.51046e-07,3.25075
 1s ,3,3, 3d ,5,7,8978.14,2.76581e-06,3.25075
 1s ,3,3, 3d ,7,6,8978.14,6.88802e-06,3.25075
 1s ,3,3, 3d ,1,5,8978.15,1.42563e-06,3.25075
 1s ,3,3, 3d ,3,7,8978.16,2.33147e-06,3.25075
 1s ,3,3, 3d ,5,6,8978.48,5.22224e-08,3.25075
 1s ,3,3, 3d ,3,6,8978.49,6.62352e-09,3.25075
 1s ,3,3, 3d ,7,5,8978.49,8.03389e-08,3.25075
 1s ,3,3, 3d ,5,5,8978.51,8.81383e-09,3.25075
 1s ,3,3, 3d ,3,5,8978.51,1.46276e-09,3.25075
 1s ,3,3, 3d ,1,3,8978.61,6.97853e-08,3.25075
 1s ,3,3, 3d ,7,4,8978.62,1.55869e-08,3.25075
 1s ,3,3, 3d ,5,4,8978.62,1.46697e-07,3.25075
 1s ,3,3, 3d ,3,4,8978.62,1.76154e-07,3.25075
 1s ,3,3, 3d ,5,3,8978.63,1.801e-07,3.25075
 1s ,3,3, 3d ,9,3,8978.63,1.90954e-12,3.25075
 1s ,3,3, 3d ,3,3,8978.63,1.69447e-08,3.25075
 1s ,3,3, 3d ,7,3,8978.63,6.01926e-07,3.25075
 1s ,3,3, 3d ,1,2,8978.64,1.09157e-08,3.25075
 1s ,3,3, 3d ,7,2,8978.73,8.25245e-08,3.25075
