Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
27 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 (5p)1  	 3 	 2 	   	  	 8.04747840706E+03 	 3.29453e-05 	 0.265127 	 2.3047
28 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 (5p)1  	 5 	 1 	   	  	 8.04752297361E+03 	 6.28355e-08 	 0.00050567 	 2.33069
29 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 (5p)1  	 7 	 1 	   	  	 8.04752415822E+03 	 1.08617e-08 	 8.74098e-05 	 2.25851
30 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 2p 	 (1s)2 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1 (5p)1  	 3 	 1 	   	  	 8.04753291659E+03 	 3.35992e-09 	 2.70391e-05 	 2.33789
31 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 (5p)1  	 3 	 3 	   	  	 8.85404313880E+03 	 3.22805e-09 	 2.85813e-05 	 4.39896
32 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 (5p)1  	 1 	 3 	   	  	 8.85404935601E+03 	 2.43321e-09 	 2.15438e-05 	 4.79958
33 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 (5p)1  	 1 	 2 	   	  	 8.85421845139E+03 	 1.28863e-09 	 1.14098e-05 	 5.21851
34 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 (5p)1  	 3 	 2 	   	  	 8.85422141953E+03 	 1.63381e-09 	 1.44661e-05 	 4.83569
35 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 (5p)1  	 5 	 1 	   	  	 8.85444960826E+03 	 7.36376e-10 	 6.5202e-06 	 4.31306
36 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 (5p)1  	 3 	 1 	   	  	 8.85445442721E+03 	 2.12651e-10 	 1.88291e-06 	 4.65319
