Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,1,3, 3d ,3,7,8978.03950205,1.81418e-06,1.50135
 1s ,1,3, 3d ,5,7,8978.07626896,3.19529e-06,1.50135
 1s ,1,3, 3d ,1,4,8978.10609193,2.34415e-14,1.50135
 1s ,1,3, 3d ,5,6,8978.17710574,8.99546e-06,1.50135
 1s ,1,3, 3d ,7,4,8978.22324797,4.64306e-12,1.50135
 1s ,1,3, 3d ,3,6,8978.23290934,8.52972e-06,1.50135
 1s ,1,3, 3d ,1,3,8978.50225501,1.8856e-10,1.50135
 1s ,1,3, 3d ,3,5,8978.5099806,7.0025e-07,1.50135
 1s ,1,3, 3d ,5,5,8978.5286646,1.84343e-06,1.50135
 1s ,1,3, 3d ,5,4,8978.56123023,7.63502e-07,1.50135
 1s ,1,3, 3d ,3,4,8978.56262573,1.94547e-07,1.50135
 1s ,1,3, 3d ,7,3,8978.58619873,1.39768e-10,1.50135
 1s ,1,3, 3d ,1,2,8978.62184694,3.80946e-11,1.50135
 1s ,1,3, 3d ,3,3,8978.63176367,1.47578e-07,1.50135
 1s ,1,3, 3d ,3,2,8978.72291894,1.2107e-07,1.50135
 1s ,1,3, 3d ,5,3,8978.72802842,7.26847e-07,1.50135
 1s ,1,3, 3d ,1,1,8978.73065796,2.71605e-11,1.50135
 1s ,1,3, 3d ,5,2,8978.80031794,1.29827e-06,1.50135
 1s ,1,3, 3d ,7,2,8978.81378077,3.78648e-17,1.50135
 1s ,1,3, 3d ,3,1,8978.82039917,1.57839e-07,1.50135
 1s ,1,3, 3d ,7,1,8978.85911322,4.46269e-10,1.50135
 1s ,1,3, 3d ,9,1,0.0,0.0,1.50135
 1s ,1,3, 3d ,5,1,8978.90977851,8.2617e-08,1.50135
 1s ,1,3, 4s ,3,1,8979.39466797,9.53591e-10,1.50135
 1s ,1,3, 4s ,1,1,8979.40087215,2.28901e-11,1.50135
 1s ,1,3, 5p ,1,1,8984.47274615,4.54712e-08,1.50135
 1s ,3,2, 1s ,1,2,0.00182766684597,2.0205900000000002e-24,3.01472
 1s ,3,2, 1s ,5,1,0.214275733917,1.344e-21,2.82729
 1s ,3,2, 1s ,3,1,0.219199336909,5.7996199999999994e-21,2.97964
 1s ,3,2, 1s ,1,1,0.221726110351,2.53827e-21,3.03989
 1s ,3,2, 2s ,1,3,7879.4249244,8.41978e-09,8.71675
 1s ,3,2, 2s ,3,3,7879.49575459,2.21649e-08,8.35073
 1s ,3,2, 2s ,3,2,7879.67070035,1.11628e-08,8.35893
 1s ,3,2, 2s ,1,2,7879.67742718,9.0662e-09,8.1603
 1s ,3,2, 2s ,5,1,7879.89237664,1.01823e-08,7.14729
 1s ,3,2, 2s ,3,1,7879.89702782,2.74701e-09,8.58692
 1s ,3,2, 2s ,1,1,7879.89967535,3.23866e-10,7.91439
 1s ,3,2, 2p ,5,4,8021.97435365,4.86414e-06,32.3158
 1s ,3,2, 2p ,1,6,8026.91539599,0.00663365,2.20357
 1s ,3,2, 2p ,3,7,8026.91791185,0.00818,2.24535
 1s ,3,2, 2p ,1,5,8027.25094769,0.000198543,2.24453
 1s ,3,2, 2p ,3,6,8027.25746108,0.00124066,2.21713
 1s ,3,2, 2p ,1,4,8027.27945845,0.000358687,2.28584
 1s ,3,2, 2p ,3,5,8027.2845592,0.000528233,2.18498
 1s ,3,2, 2p ,3,4,8046.97799088,0.00569026,2.27722
 1s ,3,2, 2p ,5,3,8046.98190175,0.0200186,2.27019
 1s ,3,2, 2p ,1,3,8046.98367416,0.000759333,2.2589
 1s ,3,2, 2p ,1,2,8047.26674962,0.00258853,2.17177
 1s ,3,2, 2p ,3,3,8047.2798857,0.00346626,2.20047
 1s ,3,2, 2p ,1,1,8047.30427838,3.29592e-05,2.22704
 1s ,3,2, 2p ,5,2,8047.31425077,0.00797643,2.20736
 1s ,3,2, 2p ,3,2,8047.31703989,0.00217603,2.23241
 1s ,3,2, 2p ,5,1,8047.36160644,4.17762e-05,2.2584
 1s ,3,2, 2p ,7,1,8047.36279105,2.98853e-07,2.18622
 1s ,3,2, 2p ,3,1,8047.37154942,1.79907e-05,2.2656
 1s ,3,2, 3s ,3,3,8853.88177162,3.78523e-09,4.32667
 1s ,3,2, 3s ,1,3,8853.88798883,2.82356e-09,4.72729
 1s ,3,2, 3s ,1,2,8854.05708422,1.24582e-09,5.14622
 1s ,3,2, 3s ,3,2,8854.06005236,1.46049e-09,4.7634
 1s ,3,2, 3s ,5,1,8854.28824109,3.45581e-09,4.24077
 1s ,3,2, 3s ,3,1,8854.29306004,9.45837e-10,4.5809
 1s ,3,2, 3s ,1,1,8854.29587799,1.12719e-10,4.56664
 1s ,3,2, 3p ,1,6,8900.15836803,0.000787822,4.29946
 1s ,3,2, 3p ,3,7,8900.16189781,0.00094599,4.67805
 1s ,3,2, 3p ,3,5,8900.39881697,0.000491645,4.79526
 1s ,3,2, 3p ,1,5,8900.47030074,2.46091e-05,4.15556
 1s ,3,2, 3p ,3,6,8900.47927603,0.000153307,4.36845
 1s ,3,2, 3p ,1,4,8900.59403327,9.54253e-05,4.30648
 1s ,3,2, 3p ,3,4,8902.64416097,0.000558097,4.21454
 1s ,3,2, 3p ,1,3,8902.67659376,0.000119298,4.25303
 1s ,3,2, 3p ,5,3,8902.73979371,0.00072148,4.42824
 1s ,3,2, 3p ,1,1,8902.8131149,5.37554e-05,4.17166
 1s ,3,2, 3p ,1,2,8902.86142379,0.000362732,4.01611
 1s ,3,2, 3p ,3,3,8902.88591273,0.000507511,4.04389
